dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,weather_desc_broken clouds,weather_desc_few clouds,weather_desc_fog,weather_desc_haze,weather_desc_heavy intensity rain,weather_desc_heavy snow,weather_desc_light rain,weather_desc_light snow,weather_desc_mist,weather_desc_moderate rain,weather_desc_overcast clouds,weather_desc_scattered clouds,weather_desc_sky is clear,weather_desc_snow,weather_desc_thunderstorm,weather_desc_thunderstorm with heavy rain,weather_desc_thunderstorm with light rain,weather_desc_thunderstorm with rain,weather_desc_very heavy rain
2022-01-04 15:00:00 +0000 UTC,24.3,22.95,25.99,1031,59,3.0,282,3.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 16:00:00 +0000 UTC,27.18,25.95,29.16,1031,51,4.0,288,4.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 17:00:00 +0000 UTC,29.64,27.95,31.98,1029,50,4.0,300,4.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 18:00:00 +0000 UTC,32.0,29.95,34.16,1028,49,5.01,157,8.01,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 19:00:00 +0000 UTC,33.39,31.95,35.22,1028,50,4.61,0,,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 20:00:00 +0000 UTC,34.61,32.95,35.22,1028,48,5.99,166,5.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 21:00:00 +0000 UTC,35.01,33.94,36.21,1028,46,8.01,248,11.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 22:00:00 +0000 UTC,33.13,31.96,34.21,1028,49,7.0,226,10.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 23:00:00 +0000 UTC,33.93,32.14,34.95,1028,48,10.0,226,14.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-05 00:00:00 +0000 UTC,33.73,32.14,34.95,1028,49,7.0,197,13.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
